,username,tweet_content,datetime,hashtag,source,user_verified,url,sentence_length,hour,date,month,year
46,hourlyabhi,αẞhi h Constantly targeted by BBhost Nobodys priority in the house Constantly taunted about his past Thrown under the bus by his friend BB BELONGS TO KARAN    From 𝓢𝓱o K,2024-11-03 11:04:47,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@hourlyabhi/status/None,169,11.0,2024-11-03,11,2024
47,FlyingXEagle,𝐅𝐥𝐲𝐢𝐧𝐠 𝐄𝐚𝐠𝐥𝐞 h First contestant from  whos trending at first spot In India Jalwa hai bhai ka Rt if you are happy BB BELONGS TO KARAN    K,2024-11-03 15:54:12,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@FlyingXEagle/status/None,137,15.0,2024-11-03,11,2024
48,IamSinghaniya,Nikita Singhaniya h Im proud of myself for supporting a person like Karan  has never made any bad comments about a woman nor has he ever commented on anyones personal life in  BB BELONGS TO KARAN K,2024-11-03 13:57:55,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@IamSinghaniya/status/None,197,13.0,2024-11-03,11,2024
49,mansish09885347,mansi sharma h Replying to BB BELONGS TO KARAN #,2024-11-03 14:51:15,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@mansish09885347/status/None,48,14.0,2024-11-03,11,2024
50,nawaabshahab,Prem h Toh chaliye trend shuru karte hain BB belongs to karan Jungle mein shorr macha do karan ke veero TweetRetweet and Repeat   K,2024-11-03 09:59:18,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@nawaabshahab/status/None,131,9.0,2024-11-03,11,2024
51,mr_Tubun,Shiv h No fan of  will scroll without liking and reposting BB BELONGS TO KARAN    K,2024-11-03 13:20:55,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@mr_Tubun/status/None,83,13.0,2024-11-03,11,2024
52,TheKhabriTak,The khabri tak h Latest Records have been broken and history have made made by  fans as bb belongs to karan is trending at # Comment your opinion    Follow for more k,2024-11-03 16:06:31,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@TheKhabriTak/status/None,166,16.0,2024-11-03,11,2024
53,FlyingXEagle,𝐅𝐥𝐲𝐢𝐧𝐠 𝐄𝐚𝐠𝐥𝐞 h Congratulations everyone becomes first contestant who trending at st spot in India nation worldwide BB BELONGS TO KARAN    K,2024-11-03 15:35:34,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@FlyingXEagle/status/None,139,15.0,2024-11-03,11,2024
54,Khalidbcp,Khalid Imran Khan s A perfect mix of humor kindness and warmthhes truly one of a kind Thankful for his sharp wit caring nature and boundless generosity BB BELONGS TO KARAN  ,2024-11-04 05:49:52,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@Khalidbcp/status/None,173,5.0,2024-11-04,11,2024
55,quixotik_soulll,Butter ℂ ℍ ℍ î ƨ ƨ ǝ ヅ h Koi rok lo mujhe meko pyar hotey ja rai iss bande seKarans convo wid chum n dat light flirt at d end uffff BB belongs to karan    ,2024-11-03 16:25:45,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@quixotik_soulll/status/None,155,16.0,2024-11-03,11,2024
56,ShubhamTharwani,Shubham Tharwani h The one who didnt even give eggs to karan for the whole week he is sharing his half roti as they are given only poha without veggies you are truly a gem of a person BB BELONGS TO KARAN    K,2024-11-03 17:40:48,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@ShubhamTharwani/status/None,208,17.0,2024-11-03,11,2024
57,Ask_YourFaith,A n i k e t h Replying to Sensible BB BELONGS TO KARAN,2024-11-03 15:14:29,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@Ask_YourFaith/status/None,54,15.0,2024-11-03,11,2024
58,ktweetsx,k h This man is a prime example that your hard work will be rewarded It may take time but itll happen definitely BB BELONGS TO KARAN K,2024-11-03 12:05:36,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@ktweetsx/status/None,134,12.0,2024-11-03,11,2024
59,15Apoorva7,𝒜𝓅𝑜𝑜𝓇𝓋𝒶 h Inne Serious Convo Mai Bhi Isse Confirm Karna Ladki Pasand Karti Ya Nahi Bhai Yeh Alag Masti Mai Laga Rehta KV You Dont Like Me     BB belongs to karan K,2024-11-03 16:25:32,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@15Apoorva7/status/None,163,16.0,2024-11-03,11,2024
60,FlyingXEagle,Sabki bja di tumne,2024-11-03 15:40:52,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@FlyingXEagle/status/None,18,15.0,2024-11-03,11,2024
61,neha_4553,Neha h This is what makes Karan special Despite everything Avinash does and says KV offered him food SO PROUD TO STAN HIM BB BELONGS TO KARAN     K,2024-11-03 16:42:25,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@neha_4553/status/None,147,16.0,2024-11-03,11,2024
62,ReelRiderr,𝐑𝐞𝐞𝐥𝐑𝐢𝐝𝐞𝐫 h With clarity in his words and fire in his game Karanveer is here to take  by storm All eyes on him because BB BELONGS TO KARAN ,2024-11-03 14:26:27,#BB18 BELONGS TO KARAN,Twitter Web,False,https://twitter.com/@ReelRiderr/status/None,139,14.0,2024-11-03,11,2024
63,Mahnoor_khan126,Mahnoor Khan h If you want Rohit Sharma to retire like this tweet       K,2024-11-03 08:46:00,#BCCI,Twitter Web,False,https://twitter.com/@Mahnoor_khan126/status/None,73,8.0,2024-11-03,11,2024
64,likeshare192121,likeshare Oct  William to end homelessness  to end domestic violence  to put an end to   to stop making people cry K,2024-10-30 21:40:34,#Charles,Twitter Web,False,https://twitter.com/@likeshare192121/status/None,116,21.0,2024-10-30,10,2024
65,EmilySmithMedia,EmilySmithUK Oct  meets  nfaa,2024-10-25 19:25:25,#Charles,Twitter Web,False,https://twitter.com/@EmilySmithMedia/status/None,29,19.0,2024-10-25,10,2024
66,FlorianRonsain,my brother,2024-10-29 09:54:24,#Charles,Twitter Web,False,https://twitter.com/@FlorianRonsain/status/None,10,9.0,2024-10-29,10,2024
67,Thirteen33Pro,UMV records h Light it up with a Red Wave Light Up the Night   featuring  on the    and vocals Stream Apple Music or Spotify,2024-11-03 10:30:34,#Charles,Twitter Web,False,https://twitter.com/@Thirteen33Pro/status/None,124,10.0,2024-11-03,11,2024
68,LaLifeDeSoso,Tu tdémerde,2024-10-26 21:44:23,#Charles,Twitter Web,False,https://twitter.com/@LaLifeDeSoso/status/None,11,21.0,2024-10-26,10,2024
69,noukatsu1964,Daikanyama,2024-10-26 06:25:31,#Charles,Twitter Web,False,https://twitter.com/@noukatsu1964/status/None,10,6.0,2024-10-26,10,2024
70,RoyalInkHQ,Royal Ink Oct Show Working He because the Same Time as Tinubu Just So You Know       ,2024-10-31 15:12:31,#Charles,Twitter Web,False,https://twitter.com/@RoyalInkHQ/status/None,85,15.0,2024-10-31,10,2024
71,AnwarKnight,Anwar Knight Oct So sad to hear this news  was an icon at the watching him will forever be apart of the unforgettable memories for millions of people over the years His legacy will be his offspring and the awareness he helped create to protect this endangered species Quote The Toronto Zoo Oct Your Toronto Zoo is celebrating the life and legacy of a beloved icon yearold Western lowland silverback gorilla Charles a revered member of the Zoo family since opening day in Charles passed away late yesterday afternoon K,2024-10-30 12:05:12,#Charles,Twitter Web,False,https://twitter.com/@AnwarKnight/status/None,517,12.0,2024-10-30,10,2024
72,iprema,Seven people in the wilderness,2024-11-02 22:45:40,#Charles,Twitter Web,False,https://twitter.com/@iprema/status/None,30,22.0,2024-11-02,11,2024
73,Ankitbjpvns,Ankit baranwal Oct Jai Jai Kashi Vishwanath Swamis grace should always remain on all of you        ,2024-10-28 00:07:33,#Charles,Twitter Web,False,https://twitter.com/@Ankitbjpvns/status/None,99,0.0,2024-10-28,10,2024
74,cellaumat,Senga Oct There have been sacred progress in  and   and  were incredible And  and  Have really performed with superb harmonies    k,2024-10-30 19:29:49,#Charles,Twitter Web,False,https://twitter.com/@cellaumat/status/None,131,19.0,2024-10-30,10,2024
75,_Direct_News,DirectNews pm  King Charles III officially cut his brothers annual allowance Prince AndrewIt was estimated at million euros per year   ,2024-11-02 19:58:58,#Charles,Twitter Web,False,https://twitter.com/@_Direct_News/status/None,135,19.0,2024-11-02,11,2024
76,BenefitNews24,Benefit News Oct Britains King Charles Visits Third and Queen Camilla India Charles stayed in the third and Camilla Bengaluru Invested in Integrated Medical Facility Center near Whitefield This was Charles first visit after cancer diagnosis    ,2024-10-30 13:52:29,#Charles,Twitter Web,False,https://twitter.com/@BenefitNews24/status/None,244,13.0,2024-10-30,10,2024
77,CharlesADAngelo,Charles DAngelo Oct How did Charles help this busy mother lose lbs       Ready to take charge of your health Schedule your free consultation at,2024-10-27 20:01:23,#Charles,Twitter Web,False,https://twitter.com/@CharlesADAngelo/status/None,143,20.0,2024-10-27,10,2024
78,Thirteen33Pro,Umv Records Oct  of the   that              K,2024-10-27 10:24:36,#Charles,Twitter Web,False,https://twitter.com/@Thirteen33Pro/status/None,45,10.0,2024-10-27,10,2024
79,frede_lvlle,Frédérique Oct Im still blocked on it     Quote sarah Oct I think its my favorite Eval since the start of the  season K,2024-10-29 16:18:17,#Charles,Twitter Web,False,https://twitter.com/@frede_lvlle/status/None,119,16.0,2024-10-29,10,2024
80,cellaumat,Senga Oct Not for nothing that they were th yesterday in the casting for the NMA  and  a big bravo  ,2024-10-29 09:53:02,#Charles,Twitter Web,False,https://twitter.com/@cellaumat/status/None,100,9.0,2024-10-29,10,2024
81,Soldatdesmedias,blood for blood,2024-10-26 20:24:34,#Charles,Twitter Web,False,https://twitter.com/@Soldatdesmedias/status/None,15,20.0,2024-10-26,10,2024
82,RomainActuTV,Roman TV news Oct The song by  and  was super good and the improving theater was really funny   K,2024-10-29 09:53:54,#Charles,Twitter Web,False,https://twitter.com/@RomainActuTV/status/None,97,9.0,2024-10-29,10,2024
83,abolapt,The ball Nov Video The controversial penalty with expulsion and repetition that decided SC BragaVGuimarães Read here        Video The controversial penalty with expulsion and repetition that decided SC BragaVGuimarães Abolapt From abolapt k,2024-10-31 20:57:51,#Charles,Twitter Web,False,https://twitter.com/@abolapt/status/None,240,20.0,2024-10-31,10,2024
84,Soldatdesmedias,blood for blood,2024-10-26 20:21:42,#Charles,Twitter Web,False,https://twitter.com/@Soldatdesmedias/status/None,15,20.0,2024-10-26,10,2024
85,Soldatdesmedias,Freed from Desire,2024-10-26 19:38:53,#Charles,Twitter Web,False,https://twitter.com/@Soldatdesmedias/status/None,17,19.0,2024-10-26,10,2024
86,mr_kline_,John Oct  which takes a start from the anthem ,2024-10-26 19:25:50,#Charles,Twitter Web,False,https://twitter.com/@mr_kline_/status/None,46,19.0,2024-10-26,10,2024
87,ThanthiTV,Thanthi tv Oct Charles who secretly came to India The cause of the excitement    Charles who secretly came to India The cause of the excitement From Thanthitvcom k,2024-10-31 06:51:05,#Charles,Twitter Web,False,https://twitter.com/@ThanthiTV/status/None,163,6.0,2024-10-31,10,2024
88,Soldatdesmedias,Media soldier Oct  imitates to perfection  K,2024-10-26 21:43:43,#Charles,Twitter Web,False,https://twitter.com/@Soldatdesmedias/status/None,44,21.0,2024-10-26,10,2024
89,BrunoBazz,Bruno Bazz Oct  is a real little showmanLive take the place of With respect and humor had to know how to do it   K,2024-10-26 21:44:34,#Charles,Twitter Web,False,https://twitter.com/@BrunoBazz/status/None,114,21.0,2024-10-26,10,2024
90,tweetolivier,𝑶𝒍𝒊𝒗𝒊𝒆𝒓 𝑨𝑹𝑵𝑶𝑳𝑫 Oct  not too badly the imitation of By  K,2024-10-26 21:41:53,#Charles,Twitter Web,False,https://twitter.com/@tweetolivier/status/None,56,21.0,2024-10-26,10,2024
91,BrunoBazz,Bruno Bazz Oct The Best Showman of Tonight  Several strings to his bow It looks like me when I took the place of Dechavanne at the wheel of fortune when I was   The next generation is insured k,2024-10-26 22:00:13,#Charles,Twitter Web,False,https://twitter.com/@BrunoBazz/status/None,193,,2024-10-26,10,2024
92,Mere_Recruiter,RestingBitchFace Oct Sowere all just supposed to move on I knew this day would come but I just wasnt ready for this national treasure to go home    K,2024-10-10 03:00:33,#Charles,Twitter Web,False,https://twitter.com/@Mere_Recruiter/status/None,149,,2024-10-10,10,2024
93,Bob30031583,Give us what you stole us,2024-10-21 12:01:48,#Charles,Twitter Web,False,https://twitter.com/@Bob30031583/status/None,25,,2024-10-21,10,2024
94,hol40900,Candice Holmes Oct   in  while  enjoys the  welcomehow rich The  still plunders the wealth of these countries all while pretending to be their friends Talk about a twisted relationship  K,2024-10-24 05:24:55,#Charles,Twitter Web,False,https://twitter.com/@hol40900/status/None,187,,2024-10-24,10,2024
95,stairwaygames,Stairway Games Oct Whether you have settled or still looking for the one may your love story blooms beautifully in  by parmy_of_my_eye IG   by See you next     K,2024-10-18 04:00:07,#Charles,Twitter Web,False,https://twitter.com/@stairwaygames/status/None,161,,2024-10-18,10,2024
96,rifdp,RIFDP IWNDP Oct We are all    k,2024-10-11 15:20:41,#Charles,Twitter Web,False,https://twitter.com/@rifdp/status/None,31,,2024-10-11,10,2024
97,FabioAmati1,Fabio Amati m What  did in defense on ,2024-11-03 16:24:47,#Charles,Twitter Web,False,https://twitter.com/@FabioAmati1/status/None,38,22.0,2024-11-03,11,2024
98,Aik_pakistan_,Aik News Oct King Charles and Queen Camillas private wellness retreat in India unveiled        ,2024-10-30 12:43:28,#Charles,Twitter Web,False,https://twitter.com/@Aik_pakistan_/status/None,95,3.0,2024-10-30,10,2024
99,EVERALDATLARGE,EVERALD COMPTON Oct Few Australians recognise  as our King So lets recognise him as distinguished visitor representing UK who is not entitled to constitutional role in our nation Welcome Charles King of Great Britain alone Welcome Charles King of Great Britain alone From afrcom K,2024-10-17 23:43:35,#Charles,Twitter Web,False,https://twitter.com/@EVERALDATLARGE/status/None,280,12.0,2024-10-17,10,2024
100,CharlesAlaU,Carla with Sabe Oct Friends I need information from this  ,2024-10-22 15:51:40,#Charles,Twitter Web,False,https://twitter.com/@CharlesAlaU/status/None,58,5.0,2024-10-22,10,2024
101,OnanaOOC,Onana Whats My Name M         From Manchester United Chelsea K,2024-11-03 16:57:16,#Chelsea,Twitter Web,False,https://twitter.com/@OnanaOOC/status/None,62,4.0,2024-11-03,11,2024
102,CFCWajid,Wajid h Cole Palmer is the nightmare of Man United fans    From Chelsea FC,2024-11-03 13:16:51,#Chelsea,Twitter Web,False,https://twitter.com/@CFCWajid/status/None,74,15.0,2024-11-03,11,2024
103,IlamLamar,Ilam Lamar Oct Cole Palmer Classic Goal against Man United   K,2024-10-30 12:34:19,#Chelsea,Twitter Web,False,https://twitter.com/@IlamLamar/status/None,62,16.0,2024-10-30,10,2024
104,WasswaEmma555,The Mad Man m Secrets How The Magical Photo of The Year Taken By The Best Photographer Has Changed The Saddest Story of This African Village Man in Kasese     K,2024-11-03 16:10:10,#Chelsea,Twitter Web,False,https://twitter.com/@WasswaEmma555/status/None,160,12.0,2024-11-03,11,2024
105,WasswaEmma555,The Mad Man h Secrets Why Gulu City is becoming A special Place in Uganda    ,2024-11-03 14:15:12,#Chelsea,Twitter Web,False,https://twitter.com/@WasswaEmma555/status/None,77,23.0,2024-11-03,11,2024
106,Hidupuntukmajor,Manchester United vs Chelsea Live Stream m Premier League match tonight Sunday November Watching on tele without ads Manchester United vs Chelsea WIB Old Trafford Nobar link Show more K,2024-11-03 16:41:48,#Chelsea,Twitter Web,False,https://twitter.com/@Hidupuntukmajor/status/None,185,15.0,2024-11-03,11,2024
